Recipe,Name,Amount,Unit
Flæskesteg med sprød svær,Flæskesteg - grisekam med ridset svær,1,5,½kg
Flæskesteg med sprød svær,Groft salt,2,tsk
Flæskesteg med sprød svær,Vand,0,5,½liter
Lasagne italienne,Smør,25,g
Lasagne italienne,Hakket oksekød ca. 6% fedt,500,g
Lasagne italienne,Hakket løg ca. 100 g,1,stk
Lasagne italienne,Groft salt,1,tsk
Lasagne italienne,Friskkværnet peber,0,stk
Lasagne italienne,Tørret timian eller basilikum,1,tsk
Lasagne italienne,Tørret oregano,0,5,½tsk
Lasagne italienne,Koncentreret tomatpuré ca. 140 g,1,dåse
Lasagne italienne,Oksebouillon,1,5,½dl
Lasagne italienne,Smør,25,g
Lasagne italienne,Hvedemel,3,5,½spsk
Lasagne italienne,Kogende mælk,6,dl
Lasagne italienne,Groft salt,0,5,½tsk
Lasagne italienne,Friskkværnet hvid peber,0,stk
Lasagne italienne,Revet muskatnød,0,5,½tsk
Lasagne italienne,Revet cheddar- og maasdammerost,150,g
Lasagne italienne,Lasagneplader,15,stk
Lasagne italienne,Rasp,2,spsk
Lasagne italienne,Smør,25,g
Lasagne italienne,Tomatsalat,500,g
Bananmuffins med chokolade,Hvedemel ca. 3½ dl,200,g
Bananmuffins med chokolade,Bagepulver,2,tsk
Bananmuffins med chokolade,Fint salt,0,5,½tsk
Bananmuffins med chokolade,Æg,2,stk
Bananmuffins med chokolade,Sukker ca. 1¾ dl,150,g
Bananmuffins med chokolade,Vaniljesukker,1,tsk
Bananmuffins med chokolade,Smeltet smør,125,g
Bananmuffins med chokolade,Modne bananer,2,stk
Bananmuffins med chokolade,Mørk chokolade,100,g
Bananmuffins med chokolade,Muffinsforme,12,stk
Rabarberkompot,Rensede vinrabarber,500,g
Rabarberkompot,Vaniljestang kornene heraf eller vaniljepasta i tilsvarende mængde,1,stk
Rabarberkompot,Sukker ca. 2¼ dl,200,g
Sommersalat med jordbær,Skyllet rucolasalat,100,g
Sommersalat med jordbær,Skyllede babyspinatblade,100,g
Sommersalat med jordbær,Friske bælgede ærter,200,g
Sommersalat med jordbær,Cherrytomater i halve,400,g
Sommersalat med jordbær,Jordbær i halve,250,g
Sommersalat med jordbær,Forårsløg i skiver ca. 100 g,1,bundt
Sommersalat med jordbær,Salatost i tern,200,g
Sommersalat med jordbær,Olivenolie,1,spsk
Sommersalat med jordbær,Hvid balsamicoeddike,1,spsk
Sommersalat med jordbær,Friskpresset citronsaft,1,spsk
Sommersalat med jordbær,Sennep,1,tsk
Sommersalat med jordbær,Groft salt,0,25,¼tsk
Sommersalat med jordbær,Friskkværnet peber,0,stk
Jordbærgrød,Jordbær,0,5,½kg
Jordbærgrød,Vand,1,5,½dl
Jordbærgrød,Sukker,5,spsk
Jordbærgrød,Majsstivelse,3,spsk
Jordbærgrød,Vand,2,spsk
Jordbærgrød,Mælk eller fløde,3,dl
Kanelsnegle,Smør,100,g
Kanelsnegle,Mælk,2,5,½dl
Kanelsnegle,Gær,25,g
Kanelsnegle,Æg,2,stk
Kanelsnegle,Hvedemel ca. 8½ dl,600,g
Kanelsnegle,Stødt kardemomme,2,tsk
Kanelsnegle,Groft salt,1,tsk
Kanelsnegle,Blødt smør,200,g
Kanelsnegle,Brun farin,200,g
Kanelsnegle,Stødt kanel,1,spsk
Kanelsnegle,Sammenpisket æg til pensling,0,stk
Kanelsnegle,Flormelis,2,dl
Kanelsnegle,Vand,1,5,½spsk
Kanelsnegle,Evt. kakaopulver,0,stk
Nemme kernestykker med ske,Kærnemælk A38 ymer yoghurt eller tilsvarende,3,dl
Nemme kernestykker med ske,Koldt vand,5,dl
Nemme kernestykker med ske,Gær,10,g
Nemme kernestykker med ske,Revet frisk frugt eller grønt fx gulerod squash rødbede græskar æble eller pære,100,g
Nemme kernestykker med ske,Havregryn ca. 125 g,4,dl
Nemme kernestykker med ske,Fuldkornshvedemel eller anden fuldkornsmel ca. 100 g,2,dl
Nemme kernestykker med ske,Groft salt,1,5,½tsk
Nemme kernestykker med ske,Hvedemel,500,g
Nemme kernestykker med ske,Blandede kerner og frø fx græskarkerner sesamfrø eller lignende,2,dl
Bruschetta,Grofthakkede basilikumblade,1,dl
Bruschetta,Olivenolie,4,spsk
Bruschetta,Små finthakkede fed hvidløg,2,stk
Bruschetta,Flagesalt,1,tsk
Bruschetta,Friskkværnet peber,0,stk
Bruschetta,Italiensk flute - halveret og delt på langs ca. 300 g,1,stk
Bruschetta,Modne tomater i små tern ca. 350 g,4,stk
Frikadeller,Hakket grise- og kalvekød ca. 6% fedt,600,g
Frikadeller,Fint salt,1,5,½tsk
Frikadeller,Finthakket eller revet løg ca. 150 g,2,stk
Frikadeller,Æg,2,stk
Frikadeller,Friskkværnet peber,0,stk
Frikadeller,Mælk,2,dl
Frikadeller,Finvalsede havregryn ca. 1 dl,40,g
Frikadeller,Smør til stegning,50,g
Boller i karry,Hakket grise- og kalvekød ca. 6% fedt,300,g
Boller i karry,Groft salt,1,tsk
Boller i karry,Finthakket løg,1,stk
Boller i karry,Finthakket fed hvidløg,2,stk
Boller i karry,Friskkværnet peber,0,stk
Boller i karry,Æg,1,stk
Boller i karry,Hvedemel,1,spsk
Boller i karry,Mælk,1,dl
Boller i karry,Smør,20,g
Boller i karry,Finthakket løg,1,stk
Boller i karry,Finthakket fed hvidløg,2,stk
Boller i karry,Karry,3,tsk
Boller i karry,Hvedemel,3,spsk
Boller i karry,Hønsebouillon-pulver,2,tsk
Boller i karry,Mælk,2,dl
Boller i karry,Groft salt,1,tsk
Boller i karry,Friskkværnet peber,0,stk
Boller i karry,Æble i tern,1,stk
Boller i karry,Røde æbler i tynde skiver,2,stk
Boller i karry,Fintsnittet romainesalat,200,g
Boller i karry,Slikærter i lange tynde strimler,100,g
Boller i karry,Løg i tynde skiver,1,stk
Boller i karry,Løse ris parboiled - koges ca. 4 dl,320,g
Wok med kylling nudler og grøntsager,Rapsolie,0,5,½spsk
Wok med kylling nudler og grøntsager,Små gulerødder i grove stykker,200,g
Wok med kylling nudler og grøntsager,Rødløg i ringe ca. 150 g,2,stk
Wok med kylling nudler og grøntsager,Broccoli i buketter med stilk,200,g
Wok med kylling nudler og grøntsager,Rapsolie,0,5,½spsk
Wok med kylling nudler og grøntsager,Kyllingefilet i mundrette stykker,400,g
Wok med kylling nudler og grøntsager,Karry,3,tsk
Wok med kylling nudler og grøntsager,Madlavningsfløde,0,5,½liter
Wok med kylling nudler og grøntsager,Honning,0,5,½spsk
Wok med kylling nudler og grøntsager,Østerssauce,1,5,½spsk
Wok med kylling nudler og grøntsager,Groft salt,1,tsk
Wok med kylling nudler og grøntsager,Fintsnittede forårsløg ca. 50 g,0,5,½bundt
Wok med kylling nudler og grøntsager,Grofthakkede ristede cashewnødder,0,stk
Wok med kylling nudler og grøntsager,Tørrede ægnudler,300,g
Kagecreme,Mælk,2,dl
Kagecreme,Æggeblommer,2,stk
Kagecreme,Sukker,2,spsk
Kagecreme,Hvedemel eller majsstivelse,1,spsk
Kagecreme,Vaniljestang - kornene herfra eller 1 tsk. vaniljesukker,1,stk
Chokolademuffins,Hvedemel ca. 3¾ dl,250,g
Chokolademuffins,Sukker ca. 3 dl,250,g
Chokolademuffins,Kakaopulver ca. 1 dl,50,g
Chokolademuffins,Bagepulver,3,tsk
Chokolademuffins,Groft salt,0,5,½tsk
Chokolademuffins,Mælk,2,5,½dl
Chokolademuffins,Æg,2,stk
Chokolademuffins,Smør - smeltet,100,g
Chokolademuffins,Grofthakket mørk chokolade eller chokoladeknapper,175,g
Chokolademuffins,Papirmuffinsforme ca. 1 dl,16,stk
Flødekartofler,Skrællede kartofler,1,kg
Flødekartofler,Revet muskatnød,0,5,½tsk
Flødekartofler,Groft salt,1,5,½tsk
Flødekartofler,Friskkværnet peber,0,stk
Flødekartofler,Piskefløde,4,dl
Falafler - af kikærter fra dåse,Kikærter i lage ca. 400 g,1,dåse
Falafler - af kikærter fra dåse,Bredbladet persille,5,stilke
Falafler - af kikærter fra dåse,Knust fed hvidløg,1,stk
Falafler - af kikærter fra dåse,Lille løg i grove stykker,1,stk
Falafler - af kikærter fra dåse,Hvedemel,1,5,½spsk
Falafler - af kikærter fra dåse,Groft salt,0,75,¾tsk
Falafler - af kikærter fra dåse,Bagepulver,0,5,½tsk
Falafler - af kikærter fra dåse,Stødt koriander,1,5,½tsk
Falafler - af kikærter fra dåse,Stødt spidskommen,1,tsk
Falafler - af kikærter fra dåse,Cayennepeber,0,25,¼tsk
Falafler - af kikærter fra dåse,Fintrevet citronskal usprøjtet,1,tsk
Falafler - af kikærter fra dåse,Smagsneutral olie - til stegning,3,dl
Vandmelonsalat,Mørk balsamicoeddike,1,dl
Vandmelonsalat,Sukker 1 dl,85,g
Vandmelonsalat,Græskarkerner,0,5,½dl
Vandmelonsalat,Lille vandmelon i tern ca. 1 kg,1,stk
Vandmelonsalat,Salatost i tern - afdryppet,300,g
Vandmelonsalat,Mynteblade,0,stk
Blødkogt æg,Mellemstore æg,4,stk
Pastasalat,Vand,2,liter
Pastasalat,Groft salt,2,tsk
Pastasalat,Tørret fuldkornspasta fx skruer,250,g
Pastasalat,Pikant flødeost,200,g
Pastasalat,Røde peberfrugter i tern ca. 300 g,2,stk
Pastasalat,Cherrytomater i halve,250,g
Pastasalat,Optøede frosne majs ca. g,250,g
Pastasalat,Strimlede basilikumblade,1,dl
Pastasalat,Groft salt,0,5,½tsk
Pastasalat,Friskkværnet peber,0,stk
Pastasalat,Bacon ca. 250 g,16,skiver
Pastasalat,Lune naanbrød evt. fuldkorn,200,g
Rabarbertrifli,Rabarber i mindre stykker,500,g
Rabarbertrifli,Vand,1,spsk
Rabarbertrifli,Sukker ca. 85 g,1,dl
Rabarbertrifli,Æggeblommer ca. 2 spsk,2,stk
Rabarbertrifli,Sukker,3,spsk
Rabarbertrifli,Vaniljestang - kornene heraf,0,5,½
Rabarbertrifli,Majsstivelse fx maizena,1,spsk
Rabarbertrifli,Mælk,0,25,¼liter
Rabarbertrifli,Piskefløde,0,25,¼liter
Rabarbertrifli,Smør,50,g
Rabarbertrifli,Havregryn,100,g
Rabarbertrifli,Hakkede mandler,50,g
Rabarbertrifli,Sukker,3,spsk
Rabarbertrifli,Skovsyre,0,stk
Citronkage,Smør,125,g
Citronkage,Sukker,200,g
Citronkage,Æg,3,stk
Citronkage,Citronskal usprøjtet,1,spsk
Citronkage,Friskpresset citronsaft,0,5,½dl
Citronkage,Hvedemel,150,g
Citronkage,Bagepulver,1,tsk
Citronkage,Flormelis,200,g
Citronkage,Friskpresset citronsaft,2,spsk
Chili con carne med oksekød bønner og cremefraiche,Smør,10,g
Chili con carne med oksekød bønner og cremefraiche,Hakket oksekød ca. 6% fedt,500,g
Chili con carne med oksekød bønner og cremefraiche,Grofthakkede løg ca. 150 g,2,stk
Chili con carne med oksekød bønner og cremefraiche,Små finthakkede fed hvidløg,2,stk
Chili con carne med oksekød bønner og cremefraiche,Stødt spidskommen,2,tsk
Chili con carne med oksekød bønner og cremefraiche,Finthakket rød chilipeber,2,spsk
Chili con carne med oksekød bønner og cremefraiche,Hakkede tomater ca. 800 g,2,dåser
Chili con carne med oksekød bønner og cremefraiche,Skyllede afdryppede kidneybønner ca. 240 g,1,dåse
Chili con carne med oksekød bønner og cremefraiche,Gulerødder i mindre tern ca. 200 g,3,stk
Chili con carne med oksekød bønner og cremefraiche,Groft salt,1,tsk
Chili con carne med oksekød bønner og cremefraiche,Creme fraiche,1,5,½dl
Chili con carne med oksekød bønner og cremefraiche,Lune fladbrød,240,g
Bagekartofler,Bagekartofler ca. 1 kg,4,stk
Bagekartofler,Groft salt,0,5,½tsk
